Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
CHADL	SLRR4B	ENSG00000100399	"Chondroadherin like"	Q6NUI6	22	41229510-41240931	"Predicted intracellular proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	7	"brain: 104.1"	"Cell type enhanced"	"Detected in many"		"Melanocytes: 42.9;Muller glia cells: 40.4;Oligodendrocytes: 77.3;Schwann cells: 72.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"plasmacytoid DC: 1.2"	"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in some"			"Colon - Enteric glia cells, Heart muscle - Cardiomyocytes, Liver - Hepatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"HPA005696, HPA024654"	Uncertain				"Secreted to extracellular matrix"	"No annotated function"	NA	NA			"Cluster 44: Plasmacytoid DCs - Plasma membrane proteins"	"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 30: White matter - Myelination"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 26: Schwann cells & Melanocytes - Mixed function"				"HPA005696: AB_1079724, HPA024654: AB_1846615"	"unprognostic (6.14e-2)"	"unprognostic (4.42e-3)"	"unprognostic (1.49e-1)"	"unprognostic (6.45e-3)"	"unprognostic (1.32e-1)"	"unprognostic (9.51e-3)"	"unprognostic (2.20e-2)"	"prognostic favorable (1.56e-4)"	"unprognostic (1.53e-1)"	"unprognostic (1.23e-1)"	"unprognostic (2.83e-3)"	"unprognostic (1.51e-2)"	"unprognostic (4.67e-8)"	"unprognostic (8.36e-3)"	"unprognostic (4.10e-1)"	"unprognostic (3.40e-1)"	"unprognostic (4.09e-2)"
CHI3L1	"GP39, YK-40, YKL40"	ENSG00000133048	"Chitinase 3 like 1"	P36222	1	203178931-203186704	"Cancer-related genes, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Apoptosis, Inflammatory response"	Antimicrobial	"Asthma, Cancer-related genes, Schizophrenia"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"choroid plexus: 358.0;liver: 436.6"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 2: 124.1;Basal respiratory cells: 92.1;Ductal cells: 96.0;Hofbauer cells: 281.4;Mesothelial cells: 205.9"	"Cancer enriched"	"Detected in all"	8	"glioma: 1313.7"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	494	"neutrophil: 472.1"	"Lineage enriched"	"Detected in single"	494	"granulocytes: 472.1"	"Group enriched"	"Detected in many"	4	"Bile duct cancer: 271.9;Brain cancer: 202.6"	"Kidney - Podocytes, Skin - Sebaceous gland cells"	"Low region specificity"	"Detected in all"			"Region enriched"	"Detected in many"	6	"olfactory bulb: 28.3"	HPA077365			Approved	"Golgi apparatus,Vesicles"	"Secreted to blood"	Defense	NA	NA	25100000	180000000	"Cluster 4: Neutrophils - Degranulation"	"Cluster 60: Choroid plexus - Transmembrane transport"	"Cluster 12: Non-specific - Vasculature"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 72: Alveolar cells - Lung function"	2	"Golgi apparatus"	Vesicles	"HPA077365: "	"unprognostic (2.11e-3)"	"unprognostic (1.21e-1)"	"unprognostic (1.29e-1)"	"unprognostic (1.07e-1)"	"unprognostic (6.01e-3)"	"unprognostic (8.81e-2)"	"unprognostic (2.09e-1)"	"unprognostic (1.48e-1)"	"unprognostic (4.46e-2)"	"unprognostic (1.30e-1)"	"unprognostic (7.98e-2)"	"unprognostic (1.43e-1)"	"unprognostic (1.20e-2)"	"unprognostic (1.98e-2)"	"unprognostic (3.43e-2)"	"unprognostic (1.14e-2)"	"unprognostic (9.39e-3)"
CHI3L2	"YKL-39, YKL39"	ENSG00000064886	"Chitinase 3 like 2"	Q15782	1	111200771-111243440	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"		Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"lymphoid tissue: 195.4;salivary gland: 137.9"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 2: 108.5;B-cells: 63.5;Leydig cells: 77.3;Melanocytes: 39.5;Mucus glandular cells: 57.2;Serous glandular cells: 178.7"	"Cancer enriched"	"Detected in many"	8	"glioma: 104.0"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"naive CD4 T-cell: 91.9"	"Low lineage specificity"	"Detected in all"			"Group enriched"	"Detected in many"	6	"Leukemia: 153.8;lymphoma: 103.9"	"Stomach - Macrophages"					"Low region specificity"	"Detected in all"			HPA005443	Approved				"Secreted to blood"	Enzyme	NA	NA		420000	"Cluster 24: Non-specific - Transcription"	"Cluster 36: Lymphoid tissue - Cytokine signaling"	"Cluster 12: Non-specific - Vasculature"	"Cluster 59: Leukemia - T-cell receptor"	"Cluster 75: Serous glandular cells - Salivary secretion"				"HPA005443: AB_1078510"	"unprognostic (1.02e-2)"	"unprognostic (4.34e-2)"	"unprognostic (1.37e-1)"	"unprognostic (4.16e-2)"	"prognostic unfavorable (9.10e-5)"	"prognostic favorable (2.19e-4)"	"unprognostic (7.12e-2)"	"unprognostic (1.39e-1)"	"unprognostic (1.49e-3)"	"unprognostic (1.26e-2)"	"unprognostic (1.32e-2)"	"unprognostic (2.44e-2)"	"prognostic unfavorable (8.59e-7)"	"unprognostic (7.15e-3)"	"unprognostic (7.68e-2)"	"unprognostic (1.39e-3)"	"unprognostic (1.20e-1)"
CHIT1	"CHI3, CHIT"	ENSG00000133063	"Chitinase 1"	Q13231	1	203212827-203273641	"Candidate cardiovascular disease genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted secreted proteins"	"Carbohydrate metabolism, Chitin degradation, Polysaccharide degradation"	"Glycosidase, Hydrolase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 49.2;lung: 35.3;lymphoid tissue: 21.2"	"Cell type enhanced"	"Detected in some"		"Club cells: 44.1;granulocytes: 15.1;Hofbauer cells: 35.1;Macrophages: 71.9"	"Cancer enhanced"	"Detected in many"		"testis cancer: 31.9"	"Region enhanced"	"Detected in some"		"white matter: 4.5"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA010575, HPA074844"	Enhanced				"Secreted to blood"	Enzyme	NA	NA	26400000	57000000		"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"	"Cluster 30: White matter - Myelination"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 58: Macrophages - Innate immune response"				"HPA010575: AB_1078512, HPA074844: "	"unprognostic (5.80e-3)"	"prognostic favorable (2.02e-4)"	"unprognostic (2.58e-2)"	"unprognostic (2.19e-1)"	"unprognostic (7.87e-2)"	"unprognostic (2.28e-2)"	"unprognostic (7.55e-2)"	"unprognostic (6.36e-3)"	"unprognostic (1.17e-1)"	"unprognostic (3.25e-2)"	"unprognostic (1.38e-1)"	"unprognostic (1.03e-1)"	"unprognostic (1.56e-3)"	"unprognostic (3.37e-1)"	"unprognostic (1.52e-1)"	"unprognostic (1.06e-1)"	"unprognostic (2.95e-1)"
CHL1	"CALL, FLJ44930, L1CAM2, MGC132578"	ENSG00000134121	"Cell adhesion molecule L1 like"	O00533	3	196763-409417	"Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"	"Cell adhesion, Differentiation, Neurogenesis"	"Developmental protein"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 65.0;ovary: 32.7"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 212.1;Excitatory neurons: 409.9;Inhibitory neurons: 307.2;Oligodendrocyte precursor cells: 861.7;Schwann cells: 403.3"	"Cancer enhanced"	"Detected in many"		"glioma: 15.2"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	33	"memory B-cell: 2.8;naive B-cell: 3.8"	"Lineage enriched"	"Detected in single"	38	"B-cells: 3.8"	"Group enriched"	"Detected in many"	7	"Rhabdoid: 38.6;skin cancer: 30.5"	"Colon - Enteric glia cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA003345, CAB026120"	Enhanced				"Secreted in brain"	"Developmental protein"	NA	NA		5800000000	"Cluster 34: B-cells - Unknown function"	"Cluster 61: Brain - Neuronal signaling"	"Cluster 14: Neurons - Synaptic function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"				"CAB026120: , HPA003345: AB_1078516"	"unprognostic (5.54e-2)"	"unprognostic (2.08e-1)"	"unprognostic (7.45e-2)"	"unprognostic (7.14e-3)"	"unprognostic (1.16e-3)"	"unprognostic (1.12e-1)"	"unprognostic (3.10e-2)"	"unprognostic (2.22e-1)"	"unprognostic (5.14e-1)"	"unprognostic (1.06e-1)"	"unprognostic (7.81e-2)"	"unprognostic (3.51e-1)"	"prognostic favorable (1.21e-6)"	"unprognostic (1.11e-1)"	"unprognostic (6.07e-2)"	"unprognostic (1.24e-2)"	"unprognostic (5.66e-3)"
CHRD		ENSG00000090539	Chordin	Q9H2X0	3	184380054-184390736	"Plasma proteins, Predicted secreted proteins"		"Developmental protein"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 71.9;liver: 126.9"	"Cell type enhanced"	"Detected in many"		"Endometrial stromal cells: 28.3;Excitatory neurons: 27.3;Fibroblasts: 16.1;Hepatocytes: 25.1;Horizontal cells: 15.1;Inhibitory neurons: 36.1;Smooth muscle cells: 18.8"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Adipose visceral - Adipose progenitor cells, Breast - Fibroblasts, Heart muscle - Fibroblasts, Testis - Endothelial cells"	"Low region specificity"	"Detected in all"			"Region enhanced"	"Detected in many"		"hippocampal formation: 7.6"	HPA035827	Approved				"Secreted in other tissues"	"Developmental protein"	NA	NA		350000		"Cluster 69: Liver - Oxidoreductase activity"	"Cluster 34: Non-specific - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 48: Smooth muscle cells - Signal transduction"	40			"HPA035827: AB_10669657"	"unprognostic (2.26e-1)"	"unprognostic (3.25e-2)"	"unprognostic (1.63e-2)"	"unprognostic (2.21e-1)"	"unprognostic (6.52e-2)"	"unprognostic (3.16e-1)"	"unprognostic (2.88e-1)"	"unprognostic (9.58e-2)"	"unprognostic (1.87e-1)"	"unprognostic (1.12e-1)"	"unprognostic (3.12e-2)"	"unprognostic (6.55e-2)"	"prognostic unfavorable (6.09e-7)"	"unprognostic (5.53e-3)"	"unprognostic (1.85e-1)"	"unprognostic (9.84e-2)"	"unprognostic (7.99e-3)"
CHRDL1	"CHL, MGC1, NRLN1"	ENSG00000101938	"Chordin like 1"	Q9BU40	X	110673856-110795819	"Disease related genes, Human disease related genes, Predicted secreted proteins"	"Differentiation, Neurogenesis, Osteogenesis"	"Developmental protein"	"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"seminal vesicle: 216.7"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 47.7;Fibroblasts: 82.7;Leydig cells: 38.5;Lymphatic endothelial cells: 152.5;Mesothelial cells: 48.5;Muller glia cells: 64.5"	"Cancer enhanced"	"Detected in many"		"prostate cancer: 16.7"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"thyroid cancer: 59.3"	"Heart muscle - Fibroblasts, Liver - Hepatic stellate cells, Lung - Fibroblast_1, Pancreas - Fibroblasts, Prostate - Smooth muscle cells, Skeletal muscle - Fibroblasts, Thyroid - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA000226, HPA000250"	Approved				"Secreted in other tissues"	"Developmental protein"	NA	NA		610000		"Cluster 62: Connective tissue - ECM organization"	"Cluster 53: Neurons - Mixed function"	"Cluster 44: Connective tissue cells - ECM organization"	"Cluster 53: Fibroblasts - ECM organization"				"HPA000226: AB_1078522, HPA000250: AB_1078521"	"unprognostic (5.13e-2)"	"unprognostic (6.31e-2)"	"unprognostic (8.50e-3)"	"unprognostic (2.48e-3)"	"unprognostic (1.99e-2)"	"unprognostic (1.72e-2)"	"unprognostic (7.26e-3)"	"unprognostic (1.42e-2)"	"unprognostic (4.89e-2)"	"unprognostic (5.54e-2)"	"unprognostic (3.43e-2)"	"unprognostic (3.56e-1)"	"prognostic unfavorable (2.36e-4)"	"unprognostic (4.75e-3)"	"unprognostic (7.91e-2)"	"unprognostic (5.01e-2)"	"prognostic unfavorable (2.23e-4)"
CHRDL2	BNF1	ENSG00000054938	"Chordin like 2"	Q6WN34	11	74696429-74731426	"Predicted intracellular proteins, Predicted secreted proteins"	"Chondrogenesis, Differentiation, Osteogenesis"	"Developmental protein"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"endometrium 1: 139.9;gallbladder: 102.5;lymphoid tissue: 112.6;smooth muscle: 117.8"	"Cell type enhanced"	"Detected in some"		"Breast glandular cells: 181.9;Early spermatids: 43.2;Hepatocytes: 114.5"	"Cancer enhanced"	"Detected in many"		"stomach cancer: 14.6"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"liver cancer: 5.1;lung cancer: 3.1"	"Prostate - Smooth muscle cells, Testis - Spermatogonia"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA021771, HPA076522"	Uncertain		Approved	Vesicles	"Secreted to extracellular matrix"	"Developmental protein"	NA	NA		9700000		"Cluster 41: Smooth muscle tissue - ECM organization"	"Cluster 43: Hindbrain - Mixed function"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 17: Breast glandular cells - Lactation"		Vesicles		"HPA021771: AB_1846689, HPA076522: "	"unprognostic (2.38e-2)"	"unprognostic (1.80e-1)"	"unprognostic (7.24e-2)"	"unprognostic (3.41e-3)"	"unprognostic (9.45e-2)"	"unprognostic (2.09e-1)"	"unprognostic (4.08e-2)"	"unprognostic (4.33e-2)"	"unprognostic (6.64e-2)"	"unprognostic (2.57e-1)"	"unprognostic (1.86e-1)"	"unprognostic (1.23e-1)"	"unprognostic (7.58e-6)"	"unprognostic (8.39e-2)"	"unprognostic (1.32e-1)"	"unprognostic (1.46e-1)"	"prognostic unfavorable (6.08e-4)"
CHSY1	"CSS1, KIAA0990"	ENSG00000131873	"Chondroitin sulfate synthase 1"	Q86X52	15	101175727-101252048	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted secreted proteins"		Transferase	"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enriched"	"Detected in many"	7	"monocytes: 417.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Colon - Endothelial cells, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Skeletal muscle - Endothelial cells, Thyroid - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"								"Secreted to blood"	Enzyme	NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 7: Adipose tissue - Mixed function"	"Cluster 12: Non-specific - Vasculature"	"Cluster 71: Lymphoma - Inflammatory response"	"Cluster 29: Monocytes - Innate immune response"					"unprognostic (7.28e-2)"	"unprognostic (6.39e-2)"	"unprognostic (9.24e-2)"	"unprognostic (1.55e-1)"	"unprognostic (7.60e-2)"	"unprognostic (9.51e-3)"	"unprognostic (1.46e-1)"	"unprognostic (3.02e-3)"	"unprognostic (1.77e-1)"	"unprognostic (1.32e-2)"	"unprognostic (5.97e-2)"	"unprognostic (1.73e-1)"	"prognostic unfavorable (6.33e-5)"	"unprognostic (3.44e-2)"	"unprognostic (1.02e-1)"	"unprognostic (8.91e-3)"	"unprognostic (5.58e-3)"
CILP	HsT18872	ENSG00000138615	"Cartilage intermediate layer protein"	O75339	15	65194760-65211473	"Disease related genes, Human disease related genes, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Endometrial stromal cells: 40.5;Fibroblasts: 160.9;Leydig cells: 222.4;Peritubular cells: 55.4;Skeletal myocytes: 73.2"	"Cancer enhanced"	"Detected in many"		"breast cancer: 30.3"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	12	"ovarian cancer: 2.8;Uterine cancer: 3.7"	"Breast - Fibroblasts, Colon - Fibroblasts, Heart muscle - Fibroblasts, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Lung - Fibroblast_2, Skeletal muscle - Fibroblasts, Skin - Fibroblast_2"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			HPA003195	Uncertain				"Secreted to extracellular matrix"	"No annotated function"	NA	NA		13000000		"Cluster 41: Smooth muscle tissue - ECM organization"		"Cluster 15: Kidney cancer - Membrane components"	"Cluster 53: Fibroblasts - ECM organization"				"HPA003195: AB_1078524"	"unprognostic (2.21e-2)"	"unprognostic (3.43e-2)"	"unprognostic (4.22e-2)"	"unprognostic (7.18e-2)"	"unprognostic (2.94e-1)"	"unprognostic (2.28e-1)"	"unprognostic (2.60e-1)"	"unprognostic (1.14e-1)"	"unprognostic (1.88e-2)"	"unprognostic (3.00e-2)"	"unprognostic (1.84e-1)"	"unprognostic (1.27e-1)"	"unprognostic (2.31e-13)"	"unprognostic (5.10e-2)"	"unprognostic (2.50e-1)"	"prognostic unfavorable (2.24e-5)"	"unprognostic (4.68e-3)"
CILP2	MGC45771	ENSG00000160161	"Cartilage intermediate layer protein 2"	Q8IUL8	19	19538248-19546659	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"ovary: 2.4;testis: 5.4"	"Group enriched"	"Detected in some"	7	"Early spermatids: 26.2;Late spermatids: 21.5;Spermatocytes: 22.6"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Testis - Early spermatids"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	4	"medulla oblongata: 3.5;spinal cord: 9.6"	HPA041847	Uncertain				"Secreted to extracellular matrix"	"No annotated function"	NA	NA		22000000		"Cluster 74: Spermatids - Flagellum assembly"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 4: Non-specific - Transcription"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"				"HPA041847: AB_10795599"	"unprognostic (6.51e-2)"	"unprognostic (2.54e-2)"	"unprognostic (5.42e-4)"	"prognostic unfavorable (3.22e-6)"	"unprognostic (4.81e-2)"	"unprognostic (1.73e-1)"	"unprognostic (4.31e-2)"	"unprognostic (4.13e-3)"	"unprognostic (4.48e-2)"	"prognostic unfavorable (2.50e-4)"	"unprognostic (5.09e-2)"	"unprognostic (1.41e-2)"	"unprognostic (0.00e+0)"	"unprognostic (1.59e-2)"	"unprognostic (3.19e-2)"	"unprognostic (3.12e-3)"	"unprognostic (1.36e-2)"
CKLF	"C32, CKLF1, CKLF3, CKLF4, HSPC224, UCK-1"	ENSG00000217555	"Chemokine like factor"	Q9UBR5	16	66552563-66566251	"Predicted membrane proteins, Predicted secreted proteins"	Chemotaxis	Cytokine		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"granulocytes: 384.4;Hofbauer cells: 290.4;Langerhans cells: 258.0;Spermatocytes: 267.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"neutrophil: 1394.0"	"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in some"			HPA062779			Approved	Vesicles	"Secreted to blood"	Cytokine	NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 71: Thymus - Adaptive immune response"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 68: Non-specific - Cell cycle regulation"	"Cluster 30: Granulocytes - Unknown function"	1	Vesicles		"HPA062779: AB_2684867"	"unprognostic (1.64e-2)"	"unprognostic (2.17e-2)"	"unprognostic (1.88e-1)"	"unprognostic (4.97e-2)"	"unprognostic (3.06e-1)"	"unprognostic (1.76e-1)"	"prognostic unfavorable (5.67e-5)"	"unprognostic (2.72e-1)"	"unprognostic (3.35e-1)"	"unprognostic (1.79e-2)"	"unprognostic (8.05e-3)"	"unprognostic (1.48e-1)"	"prognostic unfavorable (1.06e-9)"	"unprognostic (2.36e-1)"	"unprognostic (2.65e-1)"	"prognostic favorable (2.22e-4)"	"unprognostic (1.07e-1)"
CLCA1	"CaCC, CLCRG1"	ENSG00000016490	"Chloride channel accessory 1"	A8K7I4	1	86468368-86500259	"Predicted secreted proteins, Transporters"	"Calcium transport, Ion transport, Transport"	"Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	13	"intestine: 1360.5"	"Cell type enriched"	"Detected in some"	40	"Intestinal goblet cells: 5696.5"	"Group enriched"	"Detected in some"	9	"colorectal cancer: 86.8;pancreatic cancer: 27.7"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	7	"ovarian cancer: 27.7"	"Colon - Colon enterocytes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA052787, HPA059301"	Enhanced				"Secreted to digestive system"	Transport	NA	NA		77000		"Cluster 45: Intestine - Digestion"		"Cluster 66: Non-specific - Mitochondria"	"Cluster 16: Intestinal goblet cells - Mucin production"				"HPA052787: AB_2681947, HPA059301: AB_2683971"			"prognostic favorable (2.98e-4)"								"unprognostic (3.42e-1)"			"unprognostic (8.61e-2)"	"unprognostic (1.06e-1)"		
